year,month,region,cnt
2023,2,서울,59584
2023,2,세종,3153
2023,2,울산,5682
2023,2,인천,26479
2023,2,전남,16505
2023,2,전북,13022
2023,2,제주,33573
2023,2,충남,16990
2023,2,충북,15727
2023,3,강원,14823
2023,3,경기,84533
2023,3,경남,25495
2023,3,경북,21278
2023,3,광주,9761
2023,3,대구,25535
2023,3,대전,14972
2023,3,부산,24676
2023,3,서울,61123
2023,3,세종,3343
2023,3,울산,5864
2023,3,인천,27840
2023,3,전남,18041
2023,3,전북,15070
2023,3,제주,34432
2023,3,충남,18832
2023,3,충북,16765
2023,4,강원,15218
2023,4,경기,87779
2023,4,경남,26661
2023,4,경북,22349
2023,4,광주,10028
2023,4,대구,26092
2023,4,대전,15301
2023,4,부산,26191
2023,4,서울,62385
2023,4,세종,3444
2023,4,울산,6050
2023,4,인천,29464
2023,4,전남,19169
2023,4,전북,15852
2023,4,제주,35020
2023,4,충남,19487
2023,4,충북,16996
2023,5,강원,15728
2023,5,경기,90624
2023,5,경남,27593
2023,5,경북,23023
2023,5,광주,10303
2023,5,대구,26691
2023,5,대전,15564
2023,5,부산,27147
2023,5,서울,63807
2023,5,세종,3562
2023,5,울산,6207
2023,5,인천,30905
2023,5,전남,19966
2023,5,전북,16256
2023,5,제주,35619
2023,5,충남,20225
2023,5,충북,17511
2023,6,강원,16143
2023,6,경기,93995
2023,6,경남,28799
2023,6,경북,23520
2023,6,광주,10609
2023,6,대구,27263
2023,6,대전,15904
2023,6,부산,28466
2023,6,서울,65614
2023,6,세종,3674
2023,6,울산,6492
2023,6,인천,32065
2023,6,전남,20874
2023,6,전북,16668
2023,6,제주,36262
2023,6,충남,20677
2023,6,충북,17903
2023,7,강원,16459
2023,7,경기,97738
2023,7,경남,30888
2023,7,경북,24347
2023,7,광주,10853
2023,7,대구,27911
2023,7,대전,16138
2023,7,부산,29037
2023,7,서울,66528
2023,7,세종,3778
2023,7,울산,6813
2023,7,인천,33248
2023,7,전남,21368
2023,7,전북,17302
2023,7,제주,36903
2023,7,충남,21437
2023,7,충북,18100
2023,8,강원,16723
2023,8,경기,99925
2023,8,경남,31767
2023,8,경북,24645
2023,8,광주,11054
2023,8,대구,28336
2023,8,대전,16263
2023,8,부산,30148
2023,8,서울,67351
2023,8,세종,3882
2023,8,울산,6960
2023,8,인천,34094
2023,8,전남,21708
2023,8,전북,17623
2023,8,제주,37342
2023,8,충남,21656
2023,8,충북,18739
2023,9,강원,17014
2023,9,경기,103704
2023,9,경남,32763
2023,9,경북,25051
2023,9,광주,11318
2023,9,대구,28988
2023,9,대전,16559
2023,9,부산,31096
2023,9,서울,68892
2023,9,세종,4073
2023,9,울산,7120
2023,9,인천,35554
2023,9,전남,22317
2023,9,전북,18187
2023,9,제주,37689
2023,9,충남,22065
2023,9,충북,19095
2023,10,강원,17363
2023,10,경기,107342
2023,10,경남,34005
2023,10,경북,25664
2023,10,광주,11757
2023,10,대구,29586
2023,10,대전,16841
2023,10,부산,32418
2023,10,서울,70194
2023,10,세종,4186
2023,10,울산,7331
2023,10,인천,36901
2023,10,전남,22992
2023,10,전북,18658
2023,10,제주,38098
2023,10,충남,23156
2023,10,충북,19416
2023,11,강원,17927
2023,11,경기,111466
2023,11,경남,35124
2023,11,경북,26234
2023,11,광주,12235
2023,11,대구,30272
2023,11,대전,17418
2023,11,부산,33770
2023,11,서울,71591
2023,11,세종,4235
2023,11,울산,7688
2023,11,인천,38551
2023,11,전남,23746
2023,11,전북,19390
2023,11,제주,38894
2023,11,충남,23558
2023,11,충북,19713
2023,12,강원,18236
2023,12,경기,114117
2023,12,경남,36225
2023,12,경북,26776
2023,12,광주,12538
2023,12,대구,30396
2023,12,대전,17889
2023,12,부산,34643
2023,12,서울,72937
2023,12,세종,4393
2023,12,울산,7838
2023,12,인천,40397
2023,12,전남,24200
2023,12,전북,19795
2023,12,제주,39418
2023,12,충남,24130
2023,12,충북,19972
2024,1,강원,18247
2024,1,경기,114735
2024,1,경남,36410
2024,1,경북,26934
2024,1,광주,12529
2024,1,대구,30396
2024,1,대전,17981
2024,1,부산,34789
2024,1,서울,72877
2024,1,세종,4430
2024,1,울산,7875
2024,1,인천,40845
2024,1,전남,24276
2024,1,전북,19827
2024,1,제주,39439
2024,1,충남,24194
2024,1,충북,20003
2024,5,강원,19003
2024,5,경기,127098
2024,5,경남,40854
2024,5,경북,29260
2024,5,광주,13216
2024,5,대구,31586
2024,5,대전,18763
2024,5,부산,38422
2024,5,서울,76551
2024,5,세종,4700
2024,5,울산,8423
2024,5,인천,45136
2024,5,전남,27061
2024,5,전북,21444
2024,5,제주,41519
2024,5,충남,26851
2024,5,충북,21710
2024,6,강원,19268
2024,6,경기,131038
2024,6,경남,41818
2024,6,경북,29838
2024,6,광주,13485
2024,6,대구,32159
2024,6,대전,19618
2024,6,부산,39519
2024,6,서울,78215
2024,6,세종,4747
2024,6,울산,8671
2024,6,인천,46697
2024,6,전남,27622
2024,6,전북,21918
2024,6,제주,42436
2024,6,충남,27330
2024,6,충북,22231
2024,7,강원,19611
2024,7,경기,134741
2024,7,경남,43013
2024,7,경북,30810
2024,7,광주,13820
2024,7,대구,32631
2024,7,대전,19933
2024,7,부산,40368
2024,7,서울,79548
2024,7,세종,4905
2024,7,울산,8883
2024,7,인천,48073
2024,7,전남,28386
2024,7,전북,22494
2024,7,제주,43117
2024,7,충남,27979
2024,7,충북,22759
